Sr number,States/ UT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,TM_01,TM_02,TM_03,TM_04,TM_05,TM_06,TM_07,TM_08,TM_09,TM_10,TM_11,TF_01,TF_02,TF_03,TF_04,TF_05,TF_06,TF_07,TF_08,TF_09,TF_10,TF_11,TA_01,TA_11,LR_01,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,LR_M01,LR_M11,LR_F01,LR_F11
1,Andhra Pradesh,76210007,81925758,82130572,82335898,82541738,82748092,82954963,83162350,83370256,83578682,83787628,38527413,41416969,41520511,41624313,41728373,41832694,41937276,42042119,42147225,42252593,42358224,37682594,40508789,40610061,40914636,41221496,41530657,41842137,42155953,42472123,42790663,43111593,275045,275045,0.61,0.66,0.71,0.72,0.72,0.73,0.73,0.74,0.75,0.75,0.76,0.66,0.7,0.42,0.5
2,Arunachal Pradesh,1097968,1180316,1183266,1186225,1189190,1192163,1195143,1198131,1201127,1204130,1207140,579941,623437,624995,626558,628124,629694,631269,632847,634429,636015,637605,518027,556879,558271,562458,566677,570927,575209,579523,583869,588248,592660,83743,83743,0.54,0.54,0.55,0.55,0.56,0.56,0.57,0.57,0.58,0.58,0.63,0.86,0.64,0.68,0.44
3,Assam,26655528,28654693,28726329,28798145,28870141,28942316,29014672,29087208,29159926,29232826,29305908,13777037,14810315,14847341,14884459,14921670,14958974,14996372,15033863,15071447,15109126,15146899,12878491,13844378,13878989,13983081,14087954,14193614,14300066,14407317,14515371,14624237,14733918,78438,78438,0.63,0.64,0.64,0.65,0.65,0.66,0.66,0.67,0.67,0.68,0.73,0.76,0.79,0.64,0.67
4,Bihar,82998509,89223397,89446456,89670072,89894247,90118983,90344280,90570141,90796566,91023558,91251116,43243795,46487080,46603297,46719806,46836605,46953697,47071081,47188759,47306730,47424997,47543560,39754714,42736318,42843158,43164482,43488216,43814377,44142985,44474057,44807613,45143670,45482248,94163,94163,0.47,0.47,0.48,0.48,0.49,0.49,0.49,0.50,0.50,0.50,0.55,0.86,0.74,0.77,0.53
5,Chhattisgarh,20833803,22396338,22452329,22508460,22564731,22621143,22677696,22734390,22791226,22848204,22905325,10474218,11259784,11287934,11316154,11344444,11372805,11401237,11429740,11458315,11486960,11515678,10359585,11136554,11164395,11248128,11332489,11417483,11503114,11589387,11676308,11763880,11852109,135191,135192,0.82,0.83,0.83,0.84,0.85,0.85,0.86,0.87,0.87,0.88,0.95,0.79,0.82,0.56,0.61
6,Goa,1347668,1448743,1452365,1455996,1459636,1463285,1466943,1470611,1474287,1477973,1481668,687248,738792,740639,742490,744346,746207,748073,749943,751818,753697,755582,660420,709952,711726,717064,722442,727861,733320,738819,744361,749943,755568,3702,3702,0.82,0.83,0.83,0.84,0.85,0.85,0.86,0.87,0.87,0.88,0.95,0.6,0.93,0.34,0.82
7,Gujarat,50671017,54471343,54607522,54744040,54880901,55018103,55155648,55293537,55431771,55570350,55709276,26385577,28364495,28435407,28506495,28577761,28649206,28720829,28792631,28864612,28936774,29009116,24285440,26106848,26172115,26368406,26566169,26765415,26966156,27168402,27372165,27577456,27784287,196024,196244,0.70,0.71,0.71,0.72,0.72,0.73,0.73,0.74,0.75,0.75,0.81,0.77,0.87,0.61,0.71
8,Haryana,21144564,22730406,22787232,22844200,22901311,22958564,23015961,23073500,23131184,23189012,23246985,11363953,12216249,12246790,12277407,12308101,12338871,12369718,12400642,12431644,12462723,12493880,9780611,10514157,10540442,10619496,10699142,10779385,10860231,10941682,11023745,11106423,11189721,44212,44212,0.68,0.69,0.69,0.70,0.70,0.71,0.71,0.72,0.72,0.73,0.79,0.64,0.85,0.44,0.67
9,Himanchal Pradesh,6077900,6533743,6550077,6566452,6582868,6599325,6615824,6632363,6648944,6665566,6682230,3087940,3319536,3327834,3336154,3344494,3352856,3361238,3369641,3378065,3386510,3394976,2989960,3214207,3222243,3246409,3270757,3295288,3320003,3344903,3369990,3395264,3420729,55673,55673,0.77,0.78,0.78,0.79,0.79,0.80,0.81,0.81,0.82,0.83,0.89,0.72,0.91,0.62,0.77
10,Jharkhand,26945829,28966766,29039183,29111781,29184561,29257522,29330666,29403992,29477502,29551196,29625074,13885037,14926415,14963731,15001140,15038643,15076240,15113930,15151715,15189594,15227568,15265637,13060792,14040351,14075452,14181018,14287376,14394531,14502490,14611259,14720843,14831250,14942484,79714,79716,0.54,0.54,0.55,0.55,0.56,0.56,0.57,0.57,0.58,0.58,0.63,0.81,0.79,0.65,0.56
